"","vote16","protest","vote20jb","vote20bs","apppres7","econpres7","covidpres7","healthcarepres7","dtleader1","dtleader2","econnow","confecon","taxecon","hlthcare2","covid1","covid2","covid_elect","impeach1","impeach2","inc_anes","inc_cpsmod"
"3040",4,0,1,1,1,1,88,2,88,3,4,3,1,1,5,1,1,7,1,66,66
"3041",2,0,2,2,7,7,88,7,88,5,2,2,2,3,1,1,1,1,7,21,66
"3042",4,0,2,3,6,5,88,6,88,5,4,3,1,1,2,1,3,1,1,3,66
"3043",2,0,2,2,7,5,88,6,88,5,4,2,4,3,3,3,3,1,7,66,66
"3044",4,0,4,4,7,7,88,6,88,5,4,4,6,4,3,2,2,3,7,66,66
"3045",2,0,2,2,7,6,88,7,88,5,5,3,6,1,3,3,2,1,7,66,23
"3046",1,0,1,1,3,2,88,3,88,3,2,5,1,5,1,1,2,7,2,66,66
"3047",2,0,2,2,7,5,88,6,88,5,5,3,3,2,4,3,2,1,7,66,19
"3048",2,0,2,2,7,7,88,7,88,5,4,2,4,2,3,3,3,1,7,66,66
"3049",2,0,2,2,7,3,88,7,88,5,5,5,3,1,2,1,2,1,7,66,66
"3050",1,0,1,1,3,3,88,4,88,3,5,5,3,1,4,1,4,7,1,7,66
"3051",1,0,3,2,4,5,88,6,88,4,3,3,3,2,3,2,3,2,5,66,66
"3052",1,0,1,1,2,4,88,6,88,2,2,2,4,1,3,5,3,7,1,20,66
"3053",2,0,2,2,7,6,88,7,88,5,5,4,5,1,3,1,2,1,7,9,66
"3054",4,0,4,4,7,7,88,7,88,5,5,5,7,5,5,5,4,7,7,66,66
"3055",2,0,2,2,2,4,88,4,88,3,4,5,4,3,1,1,2,4,4,66,66
"3056",4,0,2,2,7,6,88,6,88,5,3,3,4,5,2,2,2,2,2,66,10
"3057",1,0,1,1,2,2,88,3,88,3,4,2,2,1,5,2,2,7,1,25,66
"3058",1,1,1,1,1,1,88,1,88,1,1,5,1,5,1,1,4,1,1,66,66
"3059",1,0,1,1,1,1,88,1,88,1,2,2,1,2,4,4,4,4,4,66,11
"3060",1,0,1,1,1,1,88,1,88,2,1,2,1,1,5,2,3,7,1,66,66
"3061",2,0,1,3,6,1,88,5,88,3,3,4,5,4,2,4,2,3,5,66,23
"3062",1,0,2,2,7,5,88,7,88,5,5,4,7,2,4,1,2,2,7,12,66
"3063",4,0,4,4,7,4,88,7,88,5,3,1,4,1,5,4,1,1,7,66,66
